X Field,X軸欄位
From Payment Date,開始付款日期
To Payment Date,截止付款日期
Invoice Limit,發票限額
Payment Limit,付款限額
Minimum Payment Amount,最小付款金額
Maximum Payment Amount,最大付款金額
This filter will be applied to Journal Entry.,過濾條件僅限日記帳憑證
Document Link,單據關聯,
Document Links,單據關聯,
Document Actions,單據操作,
Amount Eligible for Commission,佣金基數
Quotation Number,報價單號
Date format could not be determined from the values in this column. Defaulting to yyyy-mm-dd.,無法確認此欄位日期格式，將自動轉成標準的年-月-日格式
Pallets,托盤
Value of Goods,貨值
Goods,貨物
Add Template,新建模板
Length (cm),長(公分)
Width (cm),寬(公分)
Height (cm),高(公分)
Weight (kg),重量(公斤)
Vihicle Maker,車輛品牌
It can take upto few hours for accurate stock values to be visible after merging items.,合併後的物料庫存數量更新可能需幾個小時
Pick Batch No,選批號
Selected Qty,已選數量
Enable Provisional Accounting For Non Stock Items,非庫存物料採購入庫啟用暫估費用記帳
Default Provisional Account,默認暫估費用科目
Open Sales Orders,未結銷售訂單
"Once the Work Order is Closed. It can't be resumed.",不能恢復已關閉工單
Not allowed via controller permission check,自訂代碼權限檢查has_permission不通過
Action / Route,操作 / 網址路徑,
Is Rate Adjustment Entry (Debit Note),追加收款(借記單)
Issue a debit note with 0 qty against an existing Sales Invoice,基於已有銷售發票開一張0數量發票
E Commerce Settings,電商設定
Filters and Categories,過濾和類別
Enable Field Filters (Categories),啟用欄位過濾
"The field filters will also work as categories in the <b>Shop by Category</b> page.",欄位過濾在<b>產品類別購物頁面</b>也適用
Enable Variant Selection,啟用多規格篩選
"Follow these steps to create a landing page for your store",請遵照此文件說明創建購物首頁
Enable Wishlist,啟用心願清單
Enable Reviews and Ratings,啟用評論與評分
Enable Recommendations,啟用推薦
Item Search Settings,物料搜索設定
Show Categories in Search Autocomplete,搜索框自動推薦資訊中含產品類別
Guest Display Settings,訪客顯示設定
Redirect on Action,操作後跳轉
Add-ons,附加功能
Show Price in Quotation,在報價單中顯示價格
Send To All Assignees,發送給所有待辦執行人,
Receiver By Document Field,收件人(單據欄位),
Receiver By Role,收件人(用戶角色),
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set allowance in Accounts Settings",第{1}行物料{0}發票金額不能超過{2}。要允許超訂單金額開票，請在“會計設定”中設定 發票超金額控制(%),
You cannot change the rate if BOM is mentioned against any Item.,有物料清單的物料價格不可手工設定
Inter Company Purchase Invoice,關聯公司採購發票
Unreconciled Entries,未核銷單據
"If you need to reconcile particular transactions against each other, then please select accordingly. If not, all the transactions will be allocated in FIFO order.",可以手工勾選匹配，否則按時間先後自動匹配
Allocated Entries,已核銷單據
'This is a Template BOM and will be used to make the work order for {0} of the item {1}',此模板物料清單可被基於模板物料的多規格物料直接引(使)用
Cancel All Documents,取消所有單據,
Cancelling documents,取消單據,
% Picked,已揀貨%
Partially ordered,已部分下單,
Qty To Produce,待生產數量
Selected Qty,已選數量
End Transit,在途入庫
First Day of the Week,一週開始日
Overproduction for Sales and Work Order,超銷售和工單數量控制,
Quality Inspection(s),質檢單
Select Items for Quality Inspection,選擇待檢驗物料
Sales Order Packed Item,銷售訂單套件明細
Debit in Account Currency,借方(科目貨幣)
Credit in Account Currency,貸方(科目貨幣)
Picked Qty (in Stock UOM),揀貨數量(庫存單位)
"{0} {1} has accounting entries in currency {2} for company {3}. Please select a receivable or payable account with currency {2}.",為{0} {1}指定了非公司{3}本幣{2}的科目。請選擇貨幣為{2}的應收/付科目。,
"Apply Tax Withholding Amount ",含代扣稅款
Reversal Of,被沖銷憑證
Provisional Expense Account,暫估費用科目
{0} viewed,{0} 查看了
Time Taken to Deliver,交貨耗時
Reference number of the invoice from the previous system,舊系統發票號
Do Not Explode,不展開
New Version,新版本
Reserved for manufacturing,工單發料預留,
Reserved for sale,銷售出庫預留,
Reserved for sub contracting,委外發料預留,
Internal Sale or Delivery Reference missing.,須填寫關聯公司銷售或出貨參考單據號
Please create purchase from internal sale or delivery document itself,請自關聯方內部銷售或出貨單創建採購訂單
Internal Sales Reference Missing,關聯方內部銷售訂單號必填
BOM Level,BOM層級
Subcontract Order Summary,委外採購訂單執行追蹤表
Bulk Transaction,批次操作
Telephony,電話集成
Payment Gateways,支付網關
E-commerce,電商
Workspace Manager,工作區管理員
Please clear the,請清空
Payment Schedule Table,付款計劃明細表
selected Payment Terms Template,付款條款模板欄位
"If this checkbox is checked, paid amount will be splitted and allocated as per the amounts in payment schedule against each payment term",如勾選，則金額根據付款計劃明細中的付款條款進行拆分,
Translate Link Fields,翻譯連結欄位
Make Attachments Public by Default,上傳文件默認設為公開
Enabling this will allow creation of multi-currency invoices against single party account in company currency,如果勾選，允許客戶或供應商第一張發票貨幣為非主資料中的結算貨幣(預設為本幣)
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method",有些物料未在物料主資料中維護成本計算方法且已關聯物料憑證與會計憑證，考慮資料一致性此處成本計算方法不能被修改
"Party Account {0} currency ({1}) and document currency ({2}) should be same",往來單位主資料中定義的結算貨幣需與業務交易貨幣相同
Show GL Balance,顯示總帳餘額
GL Balance,總帳餘額
Total Amount Due,總未付金額
API Key cannot be regenerated,無法重新生成API金鑰
Prospect,意向客戶
Toggle Theme,切換主題
Log out,退出系統
Manage Subscriptions,管理訂閱
Frappe Support,Frappe支持
Create Workspace,新建工作區
Your Shortcuts,快速訪問
Sales Pipeline Analytics,銷售管道分析
Opportunity Summary by Sales Stage,商機匯總(按銷售階段)
Cost Center Allocation,成本中心分攤比例模板
Cost Center Allocation Percentages,成本中心分攤百分比
Asset Capitalization,資產資本化
In Location,在冊
Disposed,已處置
--Select a group--,選擇分組方式
Stock Movement,物料移動
Payment Terms Status for Sales Order,銷售訂單分期付款追蹤表
Packages,包
Package,包
Package Import,包匯入
System Logs,系統日誌
Scheduled Jobs Logs,後台任務日誌
Error Logs,錯誤日誌
Communication Logs,溝通日誌
Cost Centers for Budgeting and Analysis,成本中心預算與分析
Updating Opening Balances,更新期初
Tax Detail,稅費明細
Work Order Consumed Materials,工單已耗用物料
Settings & Configurations,設定
Preview of generated names,自動生成的單據號預覽
Generate 3 preview of names generate by any valid series.,預覽生成的3個單據號
Add this Series,新增單據號模板
Try a Naming Series,單據號模板預覽
Get a preview of generated names with a series.,預覽編號模板生成的單據號
"## Products and Services

Depending on the nature of your business, you might be selling products or services to your clients or even both. 
ERPNext is optimized for itemized management of your sales and purchase.

The **Item Master**  is where you can add all your sales items. If you are in services, you can create an Item for each service that you offer. If you run a manufacturing business, the same master is used for keeping a record of raw materials, sub-assemblies etc.

Completing the Item Master is very essential for the successful implementation of ERPNext. We have a brief video introducing the item master for you, you can watch it in the next step.","## 產品與服務

你可能出售產品或服務，或者同時出售產品和服務給客戶，產品和服務在本系統中都被定義為物料主資料,被銷售、採購、庫存等業務流程使用

正確完整地維護物料主資料對於系統實施到關重要。"
"## Who is a Customer?

A customer, who is sometimes known as a client, buyer, or purchaser is the one who receives goods, services, products, or ideas, from a seller for a monetary consideration.

Every customer needs to be assigned a unique id. Customer name itself can be the id or you can set a naming series for ids to be generated in Selling Settings.

Just like the supplier, let's quickly create a customer.","## 誰是客戶

客戶是購買產品、服務的組織

每個客戶須有(唯一識別)客戶號，可在銷售(模組)設定中選擇客戶號生成方式：客戶名或自動流水碼"
DocTypes can not be modified, please use {0} instead,單據類型不能修改，請通過{0}修改
This site is running in developer mode. Any change made here will be updated in code.,本站點已設定開發者模式參數，單據修改會同步到代碼中
"If you just want to customize for your site, use {0} instead.",如果只是訂製，請通過{0}修改
The value {0} is already assigned to an existing Item {1}.,現有物料{1}已使用此屬性值{0}。,
"To still proceed with editing this Attribute Value, enable {0} in Item Variant Settings.",如需修改屬性值，請在庫存模組的“物料多規格設定”中勾選 允許重命名屬性值。,
Show Inclusive Tax in Print,列印含稅價中的稅明細,
Unlink Advance Payment on Cancellation of Order,取消訂單時移除關聯的預付款,
Restore Asset,恢復資產
Repair Asset,修理資產
Scrap Asset,報廢資產
Adjust Asset Value,調整資產價值
Create Depreciation Entry,創建折舊分錄
you must select Capital Work in Progress Account in accounts table,請在明細表設定在建工程科目,
You can also set default CWIP account in Company {},您還可以在公司{}主資料中設定預設在建工程科目,
Enable Capital Work in Progress Accounting,資產入庫先記帳在建工程科目,
Get Supplier Group Details,獲取供應商組資訊
Setup failed,始始化失敗
Could not start up: Error in setup,初始化過程有錯誤
Module Profile,模組集合
Warehouse Settings,倉庫資訊
Available Qty at Target Warehouse,倉庫可用數量
Finished Good Item Qty,成品物料數量
Finished Good Item Quantity,成品物料數量
Finished Good Item,成品物料號
Create Grouped Asset,創建組資產(多個數量一個資產號)
Asset Quantity,資產數量
Shipping Address Template,出貨地址模板
Has Item Scanned,已掃條碼
Voucher Name,憑證號
Tax Withheld Vouchers,代繳稅款憑證
Only If Creator,限單據創建者
Page Number,頁碼
Top Left,頂部左側
Bottom Left,底部左側
Margin Top,頂邊距
Margin Bottom,底邊距
Margin Left,左邊距
Margin Right,右邊距
Internal Customer,內部客戶
Contact & Address,地址與聯絡人
Receivable Accounts,往來單位科目
Is System Generated,由系統生成
Module (for export),模組(用於匯出)
Reset Password Link Expiry Duration,重設密碼間隔
Session Expiry (idle timeout),會話超時(無操作超時)
Document Share Key Expiry (in Days),單據共享超時(天)
Number of days after which the document Web View link shared on email will be expired,透過郵件共享的登錄連結多久後過期
Disable Username/Password Login,禁止用戶密碼登錄
Make sure to configure a Social Login Key before disabling to prevent lockout,請確保先配置好社交登錄碼以防登出後被鎖
Encrypt Backups,備份資料加密
Allow Older Web View Links (Insecure),允許通過登錄連結(不安全)
System Updates,系統更新
Disable System Update Notification,禁止系統更新通知
Disable Change Log Notification,禁止系統更新日誌通知
On Payment Authorization,付款授權
Workstation Type,工站類型
Subcontracting Order,委外訂單
Subcontracting Receipt,委外入庫
Recalculate Rate,重新計算成本價
Subcontracting Purchase Order,委外採購
Distribute Additional Costs Based On,額外費用分攤方式
"Distribute Additional Costs Based On ",額外費用分攤方式
Raw Material Cost Per Qty,每單位原材料成本
Service Cost Per Qty,每單位加工費
Additional Cost Per Qty,每單位其它成本
Warehouse Details,倉庫資訊
Service Items,委外加工費明細
Subcontracting Order Item,委外訂單明細
Subcontracting Order Service Item,委外訂單加工費明細
Subcontracting Order Supplied Item,委外訂單原材料明細
Return Against Subcontracting Receipt,源委外入庫
Subcontracting Receipt Item,委外入庫明細
Subcontracting Receipt Supplied Item,委外入庫原材料明細
Consolidate Sub Assembly Items,合併子裝配件
Sales Order Reference,銷售訂單號
Item Reference,物料號
qty,數量
Constraints,約束條件
Visibility,是否顯示
List / Search Settings,列表 / 搜索設定
Virtual,虛擬
Is Calendar and Gantt,有日曆與甘特圖視圖
Enables Calendar and Gantt views.,從列表界面可切換到日曆和甘特圖
Show Title in Link Fields,在連結欄位中以標題欄位值顯示
Force Re-route to Default View,強制顯示默認視圖(不返回上次視圖)
Naming Rule,編號規則
Set by user,用戶輸入
Autoincrement,自增
By fieldname,欄位
By "Naming Series" field,單據號模板
Expression,公式
Expression (old style),公式(舊方法)
Random,隨機
By script,腳本代碼
Default View,默認視圖
Website Search Field,網站搜索欄位
Display Depends On (JS),顯示先決條件(JS)
Collapsible Depends On (JS),可摺疊先決條件(JS)
Mandatory Depends On (JS),必填先決條件(JS)
Read Only Depends On (JS),只讀先決條件(JS)
Max Height,最大高度
DocType State,單據類型狀態
Buying & Selling Settings,採購與銷售設定
Price List Defaults,價格表預設值
Stock Validations,庫存防呆校驗
Serial & Batch Item,序號與批號
Serial & Batch Item Settings,序號與批號設定
Stock Planning,庫存計劃
Stock Closing,庫存關帳
Supplier and Price Defaults,供應商與價格預設值
Subcontracting Settings,委外設定
Enable Discount Accounting for Selling,啟用折扣科目單獨記帳
Sales Update Frequency in Company and Project,按公司與專案銷售統計資料更新頻率
Invoice and Billing,發票與帳單
Invoicing Features,發票功能
Invoice Cancellation,發票取消
Enabling ensure each Sales Invoice has a unique value in Supplier Invoice No. field,強制校驗供應商發票號並確保唯一
Report Setting,報表設定
Enable Custom Cash Flow Format,啟用自訂現金流量格式
"Allow multi-currency invoices against single party account ",允許同一往來單位發票多貨幣
Credit Limit Settings,信用額度設定
Role allowed to bypass Credit Limit,不受信用額度限制的角色
Accounts Closing,會計關帳
Auto Creation of Contact,自動創建聯絡人
Allow Lead Duplication based on Emails,允許基於相同信箱創建多個線索
Close Replied Opportunity After Days,自動關閉已回復商機天數
Auto close Opportunity Replied after the no. of days mentioned above,在上述天數之後自動關閉已回復商機
Carry Forward Communication and Comments,自動將郵件評論等溝通記錄轉至下游單據
Min Qty (As Per Stock UOM),最小數量(庫存單位)
Max Qty (As Per Stock UOM),最大數量(庫存單位)
Threshold for Suggestion (In Percentage),,建議閾值(%)
Additional Info,附加資訊
Fixed Time,固定時間
Operation time does not depend on quantity to produce,加工(操作)時間不隨著生產數量變化
Supplier Invoice,供應商發票
Make Item Group visible in website,在網站上物料組顯示
Include Descendants,包括下層節點
Include Website Items belonging to child Item Groups,網站上也顯示下層物料組物料
Frequency of Depreciation (Months),折舊頻率（幾個月折一次）,
Actual Time (in Hours via Time Sheet),實際工時(工時表小時數)
Competitor Detail,競爭對手明細
Competitors,競爭對手
Competitor,競爭對手
Bundle Items,套件明細
POS Opening Entry,POS接班記錄, 
Apply TDS,計算代扣稅
Compare Versions,版本比較
From version,先前版本
To version,當前版本
Select two versions to view the diff.,選擇兩個版本比較差異
Document Naming Settings,單據號模板設定
Setup Series for transactions,設定單據號模板
Set Naming Series options on your transactions.,設定單據號模板選項
Update Series Counter,更新模板當前流水號
" Change the starting / current sequence number of an existing series. 
 Warning: Incorrectly updating counters can prevent documents from getting created. ","變更編號模板起始/當前流水號
警告：設定不當將導致單據無法創建"
Series Updated for {},單據類型 {} 的編號模板已更新
Next Execution,下次執行
Tab Break,頁簽
Autocomplete,自動完成
Quick Lists,快速訪問列表
Quick List Filter,篩選條件
Workspace Quick List,工作區快速訪問列表
Parent Page,父頁面
Is Hidden,隱藏
Exchange Gain Or Loss,匯兌損益
Warehouse Wise Stock Balance,倉庫級庫存餘額
FG Warehouse,成品倉
Raw Materials Warehouse,原材料倉
Get Raw Materials for Purchase,獲取待採購原材料
Get Raw Materials for Transfer,獲取待直接調撥原材料
Named Place,已命名地點
Split From,拆分前資產號
Depreciation Entry Posting Status,折舊憑證記帳狀態
Phone Ext.,分機號
Annual Revenue,年收入
No of Employees,員工數
No. of Employees,員工數
Qualification Status,資質狀態
Qualified By,認證機構
Qualified on,認證日期
Qualified,已認證
Unqualified,未認證
Opportunity Owner,商機負責人
Opportunity Value,商機價值
Prospect Owner,意向客戶負責人
Deal Owner,成交負責人
Contact Mobile,聯絡人手機
All Activities,全部活動
Open Tasks,未關閉任務
No open task,無未關閉任務
New Task,新任務
Open Events,未關閉事件
No open event,無未關閉事件
No Notes,無備註
New Note,新備註
Prospect Lead,意向客戶線索
Prospect Opportunity,意向客戶商機
Probability,成交機率
Closing,成交日期
Stage,階段
Opportunity Amount (Company Currency),商機金額(公司貨幣)
Materials & Operations,物料與工序
Operations & Materials,物料與工序
Configuration,配置
Cost Configuration,成本配置
Scrap & Process Loss,報廢與製程損耗
Process Loss,製程損耗
% Process Loss,製程損耗%
"Returned Qty ",退回數量
Select the Warehouse,請先選擇倉庫
Other Info,更多資訊
Is Cash or Non Trade Discount,是現金或非貿易折扣
Internal Transfers,關聯方交易
Enabling ensure each Purchase Invoice has a unique value in Supplier Invoice No. field,確保採購發票中供應商發票號不重複
POS Setting,POS設定
Max auto email report per user,每用戶最自動郵件發送報表數
Email Retry Limit,郵件重試次數限制
Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.,"如設定為24:00,則會24:00後自動將用戶登出"
Avg Rate(Balance Stock),平均成本(庫存變動)
Subcontract Order,委外訂單
Download Materials Request Plan Section,匯出原材料計劃建議
Download Materials Request Plan,匯出原材料需求與庫存
Select Warehouses to get Stock for Materials Planning,選擇倉庫
Transfer From Warehouses,調撥源倉庫
Request For Quotation,詢價
Set Project Status,設定專案狀態
Inventory Settings,庫存設定
BOM Info,物料清單資訊
Row #{1}: Warehouse is mandatory for stock Item {0},請為第 {1} 行的物料{0}輸入倉庫資訊
Terms & Conditions,條款和條件
Connections,關聯
Expires in a week or less,一週內到期
Expires today / Already Expired,當天到期/已過期
Valid till,有交期至
The total column width cannot be more than 10.,總列寬不能超過10
Return of Components,委外原材料退回
Partial Material Transferred,部分發料
Subcontract Return,委外成品退貨
"Sets 'Accepted Warehouse' in each row of the Items table.",為所有明細行設定(收貨)倉庫
"Sets 'Rejected Warehouse' in each row of the Items table.",為所有明細行設定拒收倉
Naming Series and Price Defaults,單據號及價格預設值
Is Old Subcontracting Flow,啟用舊版委外流程
Disable Last Purchase Rate,不更新最新採購價
Inter Transfer Reference,關聯交易資訊
quotation_item,報價明細
Default Receivable Accounts,默認應收帳款科目
Action if Same Rate is Not Maintained Throughout Sales Cycle,銷售流程未使用相同價格時的控制措施
SCO Supplied Item,委外訂單原材明細
Scan Mode,掃碼模式
Disables auto-fetching of existing quantity,不自動獲取現有庫存數量
Prompt Qty,提示數量
Qty Change,數量變動
Qty After Transaction,變更後數量
Balance Stock Value,變更後庫存金額
Change in Stock Value,庫存金額變動
"FIFO Stock Queue (qty, rate)",先進先出隊列(數量,單位成本)
Limit timeslot for Stock Reposting,限定物料成本追溯調整執行時機
"Limits don't apply on",限制不適用日期
Use Item based reposting,按物料進行成本追溯調整
Scheduling,排程
Ignore Default Payment Terms Template,忽略默認付款條款模板
Per Received,收貨百分比
Paid From Account Type,付款方帳戶類型
Paid To Account Type,收款方帳戶類型
Paid Amount After Tax (Company Currency),稅後付款金額(本幣)
Paid Amount After Tax,稅後付款金額(本幣)
Received Amount After Tax,稅後收款金額
Received Amount After Tax (Company Currency),稅後收款金額(本幣)
material_request_item,物料需求明細
Logs to Clear,待清除日誌
Completed By Role,審批人角色
Completed By User,審批人用戶
Permitted Roles,被授權角色
Workflow Action Permitted Role,工作流操作被授權角色
Mention if a non-standard receivable account,使用公司主資料中定義的默認應收帳款科目時，這裡不用維護
Return Components,原材料退回
Material Returned from WIP,原材料已退回
Transit Entry,調撥單
FG based Operating Cost,啟用計件成本
FG Based Operating Cost Section,啟用計件成本
Operating Cost Per BOM Quantity,每個成品工費成本
Job Requisition,職位申請
No of. Positions,職位數量
Expected Compensation,期望薪酬
Expected By,預計完成時間
Timelines,時間表
Interviews,面試
Interview Type,面試方式
Interview Round,面試輪次
Interview,面試
Resume link,簡歷連結
Scheduled On,預定於
Interview Feedback,面試回饋
Average Rating,平均評分
Interview Summary,面試總結
Skill Assessment,技能評估
Employee Exits,員工離職
Full and Final Settlement,全面終止協議結算
Full and Final Statement,離職結算
Assets Allocated,已分派資產
Journey,職業生涯
Grievance,意見
Exit Interview,離職面談
Questionnaire Email Sent,發送問卷郵件
Accounting Reports,會計報表
Shift & Attendance,班次與考勤
Exit Interview Pending,待辦離職面談
Exit Questionnaire Pending,待辦離職調查問卷
FnF Pending,未完成的結算
Reports To,直接上級
Interview Status,面談狀態
Final Decision,最終決定
Interviews (This Week),本週面試
New Hires (This Month),本月新入職員工
Exits (This Month),本月離職員工
Trainings (This Week),本週培訓
Salary Payout,薪資支付
Income Tax Computation,所得稅計算
Consider Tax Exemption Declaration,考慮稅務豁免聲明
Benefits,福利
Exemption,免稅
Tax Setup,所得稅設定
Tax & Benefits,稅務和福利
Exemption Proofs,免稅證明
Add items in the Item Locations table,請在揀貨明細表中新增物料,
"Delivery Note(s) created for the Pick List",已為揀貨單創建銷售出庫
Maintain Asset,保養資產
Split Asset,分割資產
Split Qty,分割數量
Target Asset,結轉的資產號
Target Item Code,結轉的物料號
Consumed Stock Items,耗用的庫存物料
Consumed Asset Items,耗用的資產
Service Expenses,服務類費用
Capitalization,存貨轉資產
Decapitalization,資產轉存貨
Non Conformance,不合格報告單
Zero Balance,餘額為0
"This Account has '0' balance in either Base Currency or Account Currency",本科目本幣或外幣餘額為0
Inventory Dimension,庫存輔助核算
Dimension Details,輔助核算詳情
Apply to All Inventory Documents,適用所有庫存單據(新增輔助核算欄位)
Mandatory Section,必填資訊
Apply to Document,適用單據
Type of Transaction,庫存變動類型(收/發)
Conditional Rule,條件規則
GL Entry Processing Status,會計憑證生成狀態
GL Entry Processing Status,生成會計憑證狀態
Use Company default Cost Center for Round off,使用公司默認小數精度尾差成本中心
Only Include Allocated Payments,僅含已分配(核銷)付款
Changes,找零
Payment Terms from orders will be fetched into the invoices as is,從銷售訂單複製付款條款
Journals,日記帳憑證
Merge Similar Account Heads,合併科目
Rows with Same Account heads will be merged on Ledger,相同科目會被自動合併
Book Tax Loss on Early Payment Discount,將稅損失記帳到提前付款折扣科目
Split Early Payment Discount Loss into Income and Tax Loss,將提前付款折扣分解為收入與稅損失
Payment Reconciliations,收付款核銷
Auto Reconcile Payments,啟用自動核銷收付款
Learn about Common Party,學習更多關於多重身份往來單位知識
Subcontract Receipt,委外入庫
FG Item,成品物料
Account Currency (From),源科目貨幣
Account Balance (From),源科目餘額
Account Balance (To),目標科目餘額
Account Currency (To),目標科目貨幣
Source Exchange Rate,源匯率
Target Exchange Rate,目標匯率
Repost Payment Ledger,收付款台帳重過帳
Selected Vouchers,已選憑證
Add Manually,手動新增
Ignore Voucher Type filter and Select Vouchers Manually,忽略憑證類型，手動選擇憑證
Payment Ledger Entry,收付款台帳
DeLinked,已取消關聯
Against Voucher No,關聯憑證號
Amount in Account Currency,金額(科目貨幣)
No of Months (Expense),月數(費用)
Avg Rate (Balance Stock),平均成本價(庫存餘額)
Reserved for Production Plan,生產計劃預留數量
"If checked, picked qty won't automatically be fulfilled on submit of pick list.",如勾選，揀貨單提交時不自動更新揀貨數量
Age (0 - 30),庫齡1個月
Age (31 - 00),庫齡2個月
Age (62 - 90),庫齡3個月
Age (91 - Above),庫齡3個月以上
121-Above,121天以上
No Outstanding Invoices found for this party,未找到待核銷發票
No Unreconciled Payments found for this party,未找到待核銷收付款憑證
New Journal Entry will be posted for the difference amount,會為差異金額生成日記帳憑證
Payment Ledger,收付款台帳
Include Account Currency,包括科目貨幣
Outstanding:,未付
Company Account,總帳科目,
Ledger Merge,科目合併
Accounts to Merge,待合併科目
start Merge,開始合併
Merged,已合併
Scheduler is inactive. Cannot merge accounts.,後台任務進程未開啟，無法合併科目
'Successfully merged {0} out of {1}.',待合併{1}，已成功合併{0}
Receivable/Payable Account,應收/應付科目
Bank/Cash Account,銀行/現金科目
Reconciliation Logs,核銷日誌
Process Payment Reconciliation Log,自動核銷收付款日誌
Process Payment Reconciliation,自動核銷收付款
Auto Reconciliation of Payments has been disabled. Enable it through {0},請在{0}中勾選啟用自動核銷收付款
Start / Resume,開始 / 恢復
COGS By Item Group,按物料組銷貨成本
COGS Debit,銷售成本(借方)
Deferred Revenue and Expense,遞延收入與費用
Use Batch-wise Valuation,按批號計算成本
"FIFO Stock Queue (qty, rate)",先進先出隊列(數量，單價)
Start Reposting,執行成本價追溯調整記帳
Reposting has been started in the background.,成本價追溯調整記帳已在後台運行
Rate Difference with Purchase Invoice,採購發票價差
No jobs found on this site,本站點無當前任務
Auto Refresh,自動刷新
All Queues,全部隊列
Deferred,已延後
Short,短
Long,長
Remove Failed Jobs,刪除運行出錯的任務
Are you sure you want to remove all failed jobs?,確定刪除所有運行出錯的任務?
Scheduler: Active,後台任務:運行中
Scheduler: Inactive,後台任務:未運行
Are you sure you want to re-enable scheduler?,確定啟動後台任務？
Enabled Scheduler,已啟動後台任務
Failed to enable scheduler: {0},啟動後台任務 {0} 失敗
Incorrect Stock Value Report,異常物料憑證結餘金額
Stock Ledger Invariant Check,物料憑證與會計憑證差異表
"Creation",創建日期
"Batchwise Valuation",啟用批號成本
"Consumption Rate",出庫成本價
"(A) Qty After Transaction",(A) 變更後數量
"(B) Expected Qty After Transaction",(B) 預期變更後數量
"FIFO/LIFO Queue",先進先出/後進先出隊列
"(C) Total qty in queue",(C) 隊列中總數量
"(D) Balance Stock Value",(D) 庫存餘額
"(E) Balance Stock Value in Queue",(E) 隊列中庫存餘額
"(F) Stock Value Difference",(F) 庫存差異
"Balance Stock Value using (F)",庫存差異餘額 (F)
"(G) Stock Value difference (FIFO queue)",(G) 庫存差異(先進先出隊列)
"(H) Valuation Rate",(H) 成本價
"(I) Valuation Rate as per FIFO",(I) 先進先出成本價
"(J) Valuation = Value (D) ÷ Qty (A)",(J) 成本價 = 金額(D) ÷ 數量(A)
Advance payments allocated against orders will only be fetched,僅獲取關聯了訂單的預付款
Adjustment Against,源單
Finished Good Quantity,成品數量
"Finished Good Quantity ",成品數量
No Unreconciled Invoices and Payments found for this party and account,未找到待核銷發票與收付款憑證
Disable Document Sharing,禁用單據表單/詳情界面左側欄分享功能
Login with email link,啟用郵件中連結登錄
"Allow users to log in without a password, using a login link sent to their email",允許用戶點擊郵件中的連結不輸密碼登錄系統
Apply Perm Level on API calls (Recommended),外部程序介面調用時進行欄位級權限檢查(推薦)
Telemetry,系統使用情況上報
Allow Sending Usage Data for Improving Applications,允許發送用於系統改進的使用情況資料
added rows for {0},新增了 {0} 明細行
removed rows for {0},刪除了 {0} 明細行
{0} changed values for {1} {2},{0} 變更了 {1} {2}
{0} changed values for {1},{0} 變更了 {1}
You created this {0},你創建了本單據
You edited this {0},你修改了本單據
Get Customer Group Details,獲取客戶組資訊
Link with Supplier,關聯供應商
Link with Customer,關聯客戶
Create Link,創建關聯
Successfully linked to Supplier,成功關聯了供應商
Successfully linked to Customer,成功關聯了客戶
Allow Sales Order Creation For Expired Quotation,允許從已過期報價創建(下推)銷售訂單
Over Order Allowance (%),超框架訂單容差(%)
"Percentage you are allowed to order more against the Blanket Order Quantity. For example: If you have a Blanket Order of Quantity 100 units. and your Allowance is 10% then you are allowed to order 110 units.",允許累計訂單數量超框架訂單的百分比。例如：框架訂單數量100。容差10％，那麼關聯框架訂單的多個訂單累計數量最多為110。
Show Pay Button in Purchase Order Portal,在入口網站採購訂單詳情界面顯示付款按鈕
For link field filter,用戶連結欄位智慧過濾
This form is not editable due to a Workflow.,此表單因工作流狀態不能被編輯。
Skip Available Sub Assembly Items,考慮子裝配件可用庫存
"System consider the projected quantity to check available or will be available sub-assembly items ",勾選後，計劃數量=需求-可用數量，可用足夠時子裝配件被刪除
"System consider the projected quantity to check available or will be available assembly items ",勾選後，計劃數量=需求-可用數量，可用數量足夠時裝配件被刪除
Item and Warehouse,物料與倉庫
Opening & Closing,POS機交接班
POS Closing Entry,POS機接班
POS Opening Entry,POS機交班
Create POS Opening Entry,創建POS接班記錄,
All Items,所有物料
Search by item code, serial number or barcode,"按物料號，序號，批號搜索"
Select item group,選擇物料組,
Add Discount,折扣
Item Code: {0} is not available under warehouse {1}.,倉庫 {1} 中無此物料 {0}。
Complete Order,完成訂單
Edit Cart,返回購物車
Email Receipt,郵件發送收據
New Order,新訂單
Edit Order,修改訂單
Delete Order,刪除訂單
Sold by,售貨員
To Be Paid,待支付,
Recent Orders,最近訂單
Validate Stock on Save,保存時檢查庫存
Write Off Limit,抹零限額
Auto write off precision loss while consolidation,合併時自動圓整抹零
If enabled, the consolidated invoices will have rounded total disabled,如勾選合併後的發票禁用小數精度尾差
POS Search Fields,POS機搜索欄位
POS Field,POS機欄位,
Page Size,紙張大小
Please check either with operations or FG Based Operating Cost.,有工藝路線與啟用計件成本兩個勾選欄位必須二選一
"Row #{0}: Please select Item Code in Assembly Items",裝配件明細第 {0} 行，請輸入物料號(請先點獲取待生產成品物料按鈕)
Please fill the Material Requests table,請先點獲取物料需求,
Items to Manufacture are required to pull the Raw Materials associated with it.,需有裝配件或子裝配件明細後才可計算採購原材料需求。,
Get Stock,匯出庫存資料
